得意先コード,CD1,取引先略称,CD2,部門略称,CD3,得意先名称１,得意先名称２,得意先略称,得意先検索名称,郵便番号,住所１,住所２,住所３,電話番号,ＦＡＸ番号,担当者,メールアドレス,社内外取引区分,社内外取引区分名称,金額端数単位区分,金額端数単位区分名称,金額端数処理区分,金額端数処理区分名称,運賃区分,運賃区分名称,運賃参照所属会社,運賃参照所属会社名称,運賃参照発地方面,運賃参照発地方面名称,運賃参照発地,運賃参照発地名称,運賃参照着地方面,運賃参照着地方面名称,運賃参照着地,運賃参照着地名称,運賃参照品名,運賃参照品名名称,運賃参照単位,運賃参照単位名称,運賃参照車種,運賃参照車種名称,請求基準区分,請求基準区分名称,請求担当部門コード,請求担当部門略称,名寄得意先コード,名寄得意先略称,請求区分,請求区分名称,請求消費税計算区分,請求消費税計算区分名称,請求消費税端数単位区分,請求消費税端数単位区分名称,請求消費税端数処理区分,請求消費税端数処理区分名称,請求編集単位,請求編集単位名称,請求編集種別,請求編集種別名称,請求自社情報コード,請求自社情報名称,請求書定義No,請求書定義名称,備考１,備考２,備考３,備考４,備考５,使用停止フラグ,登録日,登録時刻,登録社員コード,更新日,更新時刻,更新社員コード
"00052     0100000","00052","","01","東京営業所","00000","東曹産業株式会社","営業部流通課","東曹産業","ﾄｳｿｳｻﾝｷﾞｮｳ","102-0074","東京都千代田区九段南4丁目8番8号","九段ポンピアンビル5階","","03-3265-2721","03-3265-2726","","","1","社外","0","1円未満","2","四捨五入","2","運賃学習参照する","0","対象外","0","対象外","1","対象","0","対象外","0","対象外","1","対象","0","対象外","0","対象外","2","着日請求","01","東京営業所","00052     0100000","東曹産業","0","個別","2","請求一括","0","1円未満","2","四捨五入","4","車番毎","2","小計","01","自社","101","請求書B4 1行明細形式","","","","","","0","20180718","230156","SYSTEM","20180718","230156","SYSTEM"
"00053     0100000","00053","","01","東京営業所","00000","株式会社　丸運　千葉化成品営業所","","丸運千葉化成品","ﾏﾙｳﾝﾁﾊﾞｶｾｲ","261-0002","千葉県千葉市美浜区新港141-1","","","043-243-0399","043-243-0453","","","1","社外","0","1円未満","2","四捨五入","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","2","着日請求","01","東京営業所","00053     0100000","丸運千葉化成品","0","個別","2","請求一括","0","1円未満","2","四捨五入","4","車番毎","2","小計","01","自社","101","請求書B4 1行明細形式","","","","","","0","20180718","230156","SYSTEM","20180718","230156","SYSTEM"
"00060     0100000","00060","","01","東京営業所","00000","呉羽運輸（株）鹿島（営）","","呉羽運輸　鹿島","ｸﾚﾊｶｼ","","","","","","","","","1","社外","0","1円未満","0","切捨","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","2","着日請求","01","東京営業所","00060     0100000","呉羽運輸　鹿島","0","個別","2","請求一括","0","1円未満","2","四捨五入","4","車番毎","2","小計","01","自社","101","請求書B4 1行明細形式","","","","","","0","20180718","230156","SYSTEM","20180718","230156","SYSTEM"
"00068     0100000","00068","","01","東京営業所","00000","日新産業㈱","","日新産業㈱","ﾆｯｼﾝｻ","","","","","","","","","1","社外","0","1円未満","0","切捨","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","2","着日請求","01","東京営業所","00068     0100000","日新産業㈱","0","個別","2","請求一括","0","1円未満","2","四捨五入","4","車番毎","2","小計","01","自社","101","請求書B4 1行明細形式","","","","","","0","20180718","230156","SYSTEM","20180718","230156","SYSTEM"
"00073     0700000","00073","","07","川崎営業所","00000","信越化学工業株式会社","","信越化学工業株式","ｼﾝｴﾂｶｶﾞｸ","100-0004","東京都千代田区大手町","2-6-1","","03-3246-5081","","","","1","社外","0","1円未満","2","四捨五入","3","運賃計算する","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","2","着日請求","07","川崎営業所","00073     0700000","信越化学工業株式","0","個別","2","請求一括","0","1円未満","2","四捨五入","0","指定無し","0","指定無し","01","自社","005","請求書A4 1行明細縦","","","","","","0","20180718","230156","SYSTEM","20180821","133148","000005"
"00074     0800000","00074","","08","九州営業所","00000","信越化学工業株式会社","九州地区","信越化学九州","ｼﾝｴﾂｶｶﾞｸｷｭ","100-0004","東京都千代田区大手町","2-6-1","","03-3246-5081","","","","1","社外","0","1円未満","2","四捨五入","3","運賃計算する","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","2","着日請求","08","九州営業所","00074     0800000","信越化学九州","0","個別","2","請求一括","0","1円未満","2","四捨五入","0","指定無し","0","指定無し","01","自社","006","請求書A4 1行明細縦九州","","","","","","0","20180718","230156","SYSTEM","20181105","133812","000007"
"00092     0100000","00092","","01","東京営業所","00000","品川倉庫運輸株式会社","","品川倉庫運輸株式","ｼﾅｶﾞﾜｿｳｺｳﾝ","132-0025","東京都江戸川区松江5丁目22番1号","","","03-3680-8262","03-3680-6386","","","1","社外","0","1円未満","0","切捨","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","2","着日請求","01","東京営業所","00092     0100000","品川倉庫運輸株式","0","個別","2","請求一括","0","1円未満","2","四捨五入","4","車番毎","2","小計","01","自社","101","請求書B4 1行明細形式","","","","","","0","20180718","230156","SYSTEM","20180718","230156","SYSTEM"
"00093     0200000","00093","","02","小名浜営業所","00000","富士興産株式会社","","富士興産株式会社","ﾌｼﾞｺｳｻﾝ","136-0071","東京都江東区亀戸1丁目36番8号","新亀戸ﾋﾞﾙﾁﾞﾝｸﾞ５階","","03-6861-5990","03-6861-5992","","","1","社外","0","1円未満","0","切捨","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","2","着日請求","02","小名浜営業所","00093     0200000","富士興産株式会社","0","個別","2","請求一括","0","1円未満","2","四捨五入","0","指定なし","0","指定なし","01","自社","001","請求書A4 2行明細標準","","","","","","0","20180718","230156","SYSTEM","20180718","230156","SYSTEM"
"00094     0100000","00094","","01","東京営業所","00000","株式会社メタル便","","メタル便","ﾒﾀﾙﾋﾞﾝ","","","","","","","","","1","社外","0","1円未満","0","切捨","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","2","着日請求","01","東京営業所","00094     0100000","メタル便","0","個別","2","請求一括","0","1円未満","0","切捨","4","車番毎","2","小計","01","自社","101","請求書B4 1行明細形式","","","","","","0","20180718","230156","SYSTEM","20180718","230156","SYSTEM"
"99999     0100000","99999","","01","東京営業所","00000","デジタコデータ","","デジタコデータ","ﾃﾞｼﾞﾀｺ","","","","","","","","","1","社外","0","1円未満","0","切捨","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","2","着日請求","01","東京営業所","99999     0100000","デジタコデータ","0","個別","0","なし","0","1円未満","0","切捨","4","車番毎","2","小計","01","自社","101","請求書B4 1行明細形式","","","","","","0","20180718","230156","SYSTEM","20180718","230156","SYSTEM"
"00001     0200001","00001","","02","小名浜営業所","00001","クレハ運輸㈱","いわき物流センター","ｸﾚﾊ運輸㈱いわき","ｸﾚﾊｳﾝﾕ","974-8232","福島県いわき市錦町落合16","","","0246-63-2087","0246-63-2087","","","1","社外","1","10円未満","1","切上","3","運賃計算する","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","2","着日請求","02","小名浜営業所","00001     0200000","クレハ運輸　請求","1","本社一括","3","明細毎外税","0","1円未満","2","四捨五入","0","指定無し","0","指定無し","01","自社","001","請求書A4 2行明細標準","","","","","","0","20180718","230156","SYSTEM","20231211","151559","000002"
"00001     0200003","00001","","02","小名浜営業所","00003","ソーダニッカ(株)七ヶ浜","","ソーダニッカ七ヶ","ｿｰﾀﾞﾆｯｶ","985-0804","宮城県宮城郡七ヶ浜町東宮浜字笠岩16-24","","","022-364-9234","","","","1","社外","1","10円未満","1","切上","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","2","着日請求","02","小名浜営業所","00001     0200000","クレハ運輸　請求","1","本社一括","3","明細毎外税","0","1円未満","2","四捨五入","0","指定無し","0","指定無し","01","自社","001","請求書A4 2行明細標準","","","","","","0","20180718","230156","SYSTEM","20180723","103735","000002"
"00001     0200002","00001","","02","小名浜営業所","00002","クレハ運輸㈱　油部門","","クレハ運輸㈱油部","ｸﾚﾊｱﾌﾞﾗ","974-8232","福島県いわき市錦町落合16","","","0246-63-2043","0246-63-2087","","","1","社外","1","10円未満","2","四捨五入","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","2","着日請求","02","小名浜営業所","00001     0200000","クレハ運輸　請求","1","本社一括","3","明細毎外税","0","1円未満","2","四捨五入","0","指定無し","0","指定無し","01","自社","001","請求書A4 2行明細標準","","","","","","0","20180718","230156","SYSTEM","20231211","150830","000002"
"00039     0200004","00039","","02","小名浜営業所","00004","㈱丸運トランスポート東日本　東北支店","小名浜営業所　（抜き取り）","丸運　抜取り","ﾏﾙｳﾝﾄﾗﾝｽﾇ","971-8183","福島県いわき市泉町大剣1-52","","","0246-75-0688","","","","1","社外","0","1円未満","0","切捨","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","2","着日請求","02","小名浜営業所","00039     0200000","丸運ﾄﾗﾝｽﾎﾟｰﾄ請求","1","本社一括","3","明細毎外税","0","1円未満","2","四捨五入","0","指定なし","0","指定なし","01","自社","001","請求書A4 2行明細標準","","","","","","0","20180718","230156","SYSTEM","20180719","114530","000001"
"00039     0200003","00039","","02","小名浜営業所","00003","㈱丸運トランスポート東日本　東北支店","小名浜営業所　　　（商社）","丸運　小名浜","ﾏﾙｳﾝﾄﾗﾝｽｵ","971-8183","福島県いわき市泉町大剣1-52","","","0246-75-0688","","","","1","社外","0","1円未満","0","切捨","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","2","着日請求","02","小名浜営業所","00039     0200000","丸運ﾄﾗﾝｽﾎﾟｰﾄ請求","1","本社一括","3","明細毎外税","0","1円未満","2","四捨五入","0","指定なし","0","指定なし","01","自社","001","請求書A4 2行明細標準","","","","","","0","20180718","230156","SYSTEM","20180719","114459","000001"
"00039     0200001","00039","","02","小名浜営業所","00001","株式会社丸運トランスポート東日本","東北支店　小名浜営業所（プロセス）","丸運　プロセス","ﾏﾙｳﾝﾄﾗﾝｽﾌﾟ","971-8183","福島県いわき市泉町下川大剣1-52","","","","","","","1","社外","0","1円未満","0","切捨","3","運賃計算する","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","2","着日請求","02","小名浜営業所","00039     0200000","丸運ﾄﾗﾝｽﾎﾟｰﾄ請求","1","本社一括","3","明細毎外税","0","1円未満","2","四捨五入","0","指定無し","0","指定無し","01","自社","001","請求書A4 2行明細標準","","","","","","0","20180718","230156","SYSTEM","20181005","113055","000001"
"00039     0200002","00039","","02","小名浜営業所","00002","株式会社丸運トランスポート東日本","東北支店　小名浜営業所（ＪＸ日鉱日石）","丸運　JX日鉱日石","ﾏﾙｳﾝﾄﾗﾝｽｼﾞ","971-8183","福島県いわき市泉町下川大剣1-52","","","","","","","1","社外","0","1円未満","2","四捨五入","3","運賃計算する","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","2","着日請求","02","小名浜営業所","00039     0200000","丸運ﾄﾗﾝｽﾎﾟｰﾄ請求","1","本社一括","3","明細毎外税","0","1円未満","2","四捨五入","0","指定無し","0","指定無し","01","自社","001","請求書A4 2行明細標準","","","","","","0","20180718","230156","SYSTEM","20181005","113153","000001"
"00002     0200002","00002","","02","小名浜営業所","00002","(株)日新","日本軽金属(株)　越谷分工場出荷分","(株)日新","ﾆｯｼﾝ ｺｼｶﾞﾔ","","","","","","","","","1","社外","0","1円未満","2","四捨五入","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","2","着日請求","02","小名浜営業所","00002     0200000","㈱日新　請求","1","本社一括","2","請求一括","0","1円未満","0","切捨","0","指定なし","0","指定なし","01","自社","001","請求書A4 2行明細標準","","","","","","0","20180718","230156","SYSTEM","20180719","114238","000001"
"00002     0200001","00002","","02","小名浜営業所","00001","(株)日新","日本軽金属(株)　原町分工場出荷分","㈱日新","ﾆｯｼﾝ ﾊﾗﾏﾁ","230-0053","横浜市鶴見区大黒町8-1","鶴見倉庫(株)物流センター内","","045-521-7011","045-521-7020","","","1","社外","0","1円未満","2","四捨五入","3","運賃計算する","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","2","着日請求","02","小名浜営業所","00002     0200000","㈱日新　請求","1","本社一括","2","請求一括","0","1円未満","0","切捨","0","指定無し","0","指定無し","01","自社","001","請求書A4 2行明細標準","","","","","","0","20180718","230156","SYSTEM","20180723","110618","000002"
"00002     0200003","00002","","02","小名浜営業所","00003","(株)日新　特別運賃分","","日新特別運賃分","ﾆｯｼﾝﾄｸﾍﾞﾂｳ","","","","","","","","","1","社外","0","1円未満","2","四捨五入","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","2","着日請求","02","小名浜営業所","00002     0200000","㈱日新　請求","1","本社一括","2","請求一括","0","1円未満","0","切捨","0","指定なし","0","指定なし","01","自社","001","請求書A4 2行明細標準","","","","","","0","20180718","230156","SYSTEM","20180719","114216","000001"
"00002     0200004","00002","","02","小名浜営業所","00004","㈱日新その他","","㈱日新その他","ﾆｯｼﾝｿﾉﾀ","102-8350","東京都千代田区三番町五番地","","","03-3238-6563","03-3238-6592","","","1","社外","0","1円未満","0","切捨","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","2","着日請求","02","小名浜営業所","00002     0200000","㈱日新　請求","1","本社一括","2","請求一括","0","1円未満","0","切捨","0","指定なし","0","指定なし","01","自社","001","請求書A4 2行明細標準","","","","","","0","20180718","230156","SYSTEM","20180719","114216","000001"
"00126     0200001","00126","","02","小名浜営業所","00001","大郷運輸株式会社","","大郷運輸株式会社","ｵｵｻﾄｳﾝﾕ","985-0011","宮城県塩釜市貞山通三丁目20-1","","","022-361-0323","022-361-0320","","","1","社外","0","1円未満","0","切捨","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","2","着日請求","02","小名浜営業所","00126     0200000","大郷運輸株式会社","1","本社一括","3","明細毎外税","0","1円未満","2","四捨五入","0","指定無し","0","指定無し","01","自社","001","請求書A4 2行明細標準","","","","","","0","20180719","112309","000001","20181005","110716","000001"
"99999     0200000","99999","","02","小名浜営業所","00000","デジタコデータ","","デジタコデータ","ﾃﾞｼﾞﾀｺ","","","","","","","","","1","社外","0","1円未満","0","切捨","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","1","積日請求","02","小名浜営業所","99999     0200000","デジタコデータ","0","個別","2","請求一括","0","1円未満","0","切捨","0","指定無し","0","指定無し","01","自社","001","請求書A4 2行明細標準","","","","","","0","20180719","135635","000002","20180719","135635","000002"
"00145     0100000","00145","","01","東京営業所","00000","信越化学工業株式会社九州地区","","信越化学工業株式会社","ｼﾝｴﾂｶｶﾞｸｺｳｷﾞｮｳｷｭｳｼｭｳ","","","","","","","","","1","社外","0","1円未満","0","切捨","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","1","積日請求","07","川崎営業所","00145     0100000","信越化学工業株式会社","0","個別","2","請求一括","0","1円未満","0","切捨","0","指定無し","0","指定無し","01","自社","005","請求書A4 1行明細縦","","","","","","0","20180907","162044","000004","20180907","162044","000004"
"00139     0700000","00139","","07","川崎営業所","00000","関東ロジテム株式会社","","関東ロジテム株式会社","ｶﾝﾄｳﾛｼﾞﾃﾑ","","","","","","","","","1","社外","0","1円未満","0","切捨","3","運賃計算する","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","1","積日請求","07","川崎営業所","00139     0700000","関東ロジテム株式会社","0","個別","2","請求一括","0","1円未満","2","四捨五入","0","指定無し","0","指定無し","01","自社","005","請求書A4 1行明細縦","","","","","","0","20180822","144009","000005","20190208","142225","000004"
"00073     0100000","00073","","01","東京営業所","00000","信越化学工業株式会社","","信越化学工業株式","ｼﾝｴﾂｶｶﾞｸ","100-0004","東京都千代田区大手町","2-6-1","","03-3246-5081","","","","1","社外","0","1円未満","0","切捨","3","運賃計算する","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","1","積日請求","07","川崎営業所","00073     0100000","信越化学工業株式","0","個別","2","請求一括","0","1円未満","2","四捨五入","0","指定無し","0","指定無し","01","自社","005","請求書A4 1行明細縦","","","","","","0","20180824","134511","000099","20181213","104817","000004"
"99999     0600000","99999","","06","仙台営業所","00000","デジタコデータ","","デジタコデータ","ﾃﾞｼﾞﾀｺ","","","","","","","","","1","社外","0","1円未満","0","切捨","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","1","積日請求","03","","99999     0600000","デジタコデータ","0","個別","2","請求一括","0","1円未満","0","切捨","0","指定無し","0","指定無し","01","自社","001","請求書A4 2行明細標準","","","","","","0","20180719","135635","000002","20180719","135635","000002"
"99999     0700000","99999","","07","川崎営業所","00000","デジタコデータ","","デジタコデータ","ﾃﾞｼﾞﾀｺ","","","","","","","","","1","社外","0","1円未満","0","切捨","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","1","積日請求","03","","99999     0700000","デジタコデータ","0","個別","2","請求一括","0","1円未満","0","切捨","0","指定無し","0","指定無し","01","自社","001","請求書A4 2行明細標準","","","","","","0","20180719","135635","000002","20180719","135635","000002"
"99999     0800000","99999","","08","九州営業所","00000","デジタコデータ","","デジタコデータ","ﾃﾞｼﾞﾀｺ","","","","","","","","","1","社外","0","1円未満","0","切捨","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","1","積日請求","03","","99999     0800000","デジタコデータ","0","個別","2","請求一括","0","1円未満","0","切捨","0","指定無し","0","指定無し","01","自社","001","請求書A4 2行明細標準","","","","","","0","20180719","135635","000002","20180719","135635","000002"
"00138     0100000","00138","","01","東京営業所","00000","株式会社十条合成化学研究所","","株式会社十条合成化学","ｼﾞｭｳｼﾞｮｳｺﾞｳｾｲｶｶﾞｸ","","","","","","","","","1","社外","0","1円未満","0","切捨","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","1","積日請求","07","川崎営業所","00138     0100000","株式会社十条合成化学","0","個別","2","請求一括","0","1円未満","2","四捨五入","0","指定無し","0","指定無し","01","自社","005","請求書A4 1行明細縦","","","","","","0","20180809","165549","000004","20181213","111641","000004"
"00139     0100000","00139","","01","東京営業所","00000","関東ロジテム株式会社","","関東ロジテム株式会社","ｶﾝﾄｳﾛｼﾞﾃﾑ","","","","","","","","","1","社外","0","1円未満","0","切捨","3","運賃計算する","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","1","積日請求","07","川崎営業所","00139     0100000","関東ロジテム株式会社","0","個別","2","請求一括","0","1円未満","2","四捨五入","0","指定無し","0","指定無し","01","自社","005","請求書A4 1行明細縦","","","","","","0","20180809","165600","000004","20190208","141656","000004"
"00140     0100000","00140","","01","東京営業所","00000","株式会社ＴＳトランスポート","","株式会社ＴＳトランス","ﾃｲｴｽﾄﾗﾝｽﾎﾟｰﾄ","","","","","","","","","1","社外","0","1円未満","0","切捨","3","運賃計算する","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","1","積日請求","07","川崎営業所","00140     0100000","株式会社ＴＳトランス","0","個別","2","請求一括","0","1円未満","2","四捨五入","0","指定無し","0","指定無し","01","自社","005","請求書A4 1行明細縦","","","","","","0","20180809","165609","000004","20181213","111725","000004"
"00144     0100000","00144","","01","東京営業所","00000","信越化学工業株式会社","","信越化学工業株式会社","ｼﾝｴﾂｶｶﾞｸｺｳｷﾞｮｳ","","","","","","","","","1","社外","0","1円未満","0","切捨","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","1","積日請求","07","川崎営業所","00144     0100000","信越化学工業株式会社","0","個別","2","請求一括","0","1円未満","0","切捨","0","指定無し","0","指定無し","01","自社","005","請求書A4 1行明細縦","","","","","","0","20180809","165643","000004","20180809","165643","000004"
"07001     0700000","07001","","07","川崎営業所","00000","株式会社ニヤクコーポレーション","関東支店","ニヤクコーポ","ﾆﾔｸ","135-0041","東京都江東区冬木14-5","","","","","","","1","社外","0","1円未満","2","四捨五入","2","運賃学習参照する","0","対象外","0","対象外","1","対象","0","対象外","1","対象","0","対象外","0","対象外","0","対象外","1","積日請求","07","川崎営業所","07001     0700000","ニヤクコーポ","0","個別","2","請求一括","0","1円未満","2","四捨五入","0","指定無し","0","指定無し","01","自社","005","請求書A4 1行明細縦","","","","","","0","20180810","140847","000005","20190117","101252","000004"
"07002     0700000","07002","","07","川崎営業所","00000","三菱ケミカル株式会社","物流管理チーム","三菱ケミカル株式会社","ﾐﾂﾋﾞｼｹﾐｶﾙ","971-8101","福島県いわき市小名浜字高山34","","","0246-54-3191","0246-54-3243","","","1","社外","0","1円未満","2","四捨五入","3","運賃計算する","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","1","積日請求","07","川崎営業所","07002     0700000","三菱ケミカル株式会社","0","個別","2","請求一括","0","1円未満","2","四捨五入","0","指定無し","0","指定無し","01","自社","005","請求書A4 1行明細縦","","","","","","0","20180810","141756","000005","20180910","131703","000005"
"07002     0100000","07002","","01","東京営業所","00000","三菱ケミカル株式会社","物流管理チーム","三菱ケミカル株式会社","ﾐﾂﾋﾞｼｹﾐｶﾙ","971-8101","福島県いわき市小名浜字高山34","","","0246-54-3191","0246-54-3243","","","1","社外","0","1円未満","0","切捨","3","運賃計算する","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","1","積日請求","07","川崎営業所","07002     0100000","三菱ケミカル株式会社","0","個別","2","請求一括","0","1円未満","2","四捨五入","0","指定無し","0","指定無し","01","自社","005","請求書A4 1行明細縦","","","","","","0","20181010","133357","000099","20181213","111747","000004"
"00137     0100000","00137","","01","東京営業所","00000","メタル便","","メタル便","ﾒﾀﾙ","","","","","","","","","1","社外","0","1円未満","0","切捨","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","1","積日請求","01","東京営業所","00137     0100000","メタル便","0","個別","2","請求一括","0","1円未満","0","切捨","0","指定無し","0","指定無し","01","自社","001","請求書A4 2行明細標準","","","","","","0","20181017","154615","000003","20181017","154616","000003"
"09001     0800000","09001","","08","九州営業所","00000","株式会社　日陸","九州事業所","株式会社　日陸","ﾆﾁﾘｸ","803-0801","福岡県北九州市小倉北区西港町62-7","","","093-591-8101","093-591-8160","","","1","社外","0","1円未満","0","切捨","3","運賃計算する","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","1","積日請求","08","九州営業所","09001     0800000","株式会社　日陸","0","個別","2","請求一括","0","1円未満","0","切捨","0","指定無し","0","指定無し","01","自社","010","請求書A4 2行明細九州","","","","","","0","20181105","111701","000007","20181130","170417","000099"
"00073     0800000","00073","","08","九州営業所","00000","信越化学工業株式会社","","信越化学工業株式","ｼﾝｴﾂｶｶﾞｸ","100-0004","東京都千代田区大手町","2-6-1","","03-3246-5081","","","","1","社外","0","1円未満","0","切捨","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","0","対象外","1","積日請求","07","川崎営業所","00073     0800000","信越化学工業株式","0","個別","2","請求一括","0","1円未満","0","切捨","0","指定無し","0","指定無し","01","自社","005","請求書A4 1行明細縦","","","","","","0","20181105","114155","000007","20181105","114155","000007"
